(0.4900669075848426, -9.987984502695738)
(0.7939853028210192, -9.96842953222343)
(0.9036311961742388, -9.959088846942812)
(0.9266974096047256, -9.956969012256284)
(1.4533533050571248, -9.89382454719506)
(2.9322942552201776, -9.560421036795542)
(3.503796959888473, -9.366077453442092)
(3.738535292299161, -9.274877566212593)
(5.2383439277474775, -8.518201271080128)
(5.402951296720827, -8.414755925471798)
(6.232734551112468, -7.820039642825915)
(8.291227135198099, -5.590666560666513)
(8.416077120579926, -5.4008930650820215)
(8.47895060799906, -5.301640933438662)
(8.753311085330463, -4.835239915808815)
(9.034229243862027, -4.287505331699092)
(9.407646833998779, -3.3906018708708254)
(9.446500759297786, -3.28079615407394)
(9.488844482430808, -3.1562367446442288)
(9.963628513638556, -0.8521190305401866)
(9.99986020543761, 0.05287600311366636)
(9.963193274664858, 0.8571929605829272)
(9.922311692671839, 1.2440782425023462)
(9.551126754249985, 2.9624276740960553)
(9.439080137013487, 3.3020851241355738)
(9.237589250202802, 3.829744749266931)
(8.96908055487161, 4.422170733952271)
(8.80001017480536, 4.749717983556722)
(8.641737098941446, 5.031936000465336)
(8.59723978065275, 5.107589270288072)
(7.9640647842292545, 6.047617060677656)
(7.83539784216953, 6.21341618233682)
(7.05817446504165, 7.083937691780894)
(6.987523216533126, 7.153636788264453)
(6.8943167244785775, 7.2435072238919584)
(6.509797588940733, 7.590950885825927)
(6.462907789469607, 7.630912324539777)
(6.191118138593384, 7.853028472760046)
(6.091397973112382, 7.930628646782193)
(4.983529664434514, 8.669742330871271)
(4.656026529885262, 8.849938810692683)
(3.6287728603876364, 9.318369359910248)
(3.1125535684440604, 9.5032631387101)
(0.7983518831411053, 9.968080771677418)
(0.619852828006061, 9.98077063515703)
(-0.8934764794475071, 9.960005009068725)
(-1.0273693273380986, 9.947085616664053)
(-1.7494205062811785, 9.845787317030716)
(-2.5667595783624813, 9.664975181907321)
(-2.5977145099812535, 9.656701265164665)
(-3.307076870734267, 9.437332386381993)
(-3.590976498722323, 9.332999934941817)
(-3.700398040266189, 9.290159005291251)
(-3.8353328808264893, 9.23527052626241)
(-4.623076311320383, 8.867196029168877)
(-5.619861358472264, 8.271466515168292)
(-6.140673824915447, 7.892536029439352)
(-6.379863481421904, 7.700476735788452)
(-6.4145853295550666, 7.671577090133223)
(-7.095795787849543, 7.046253056563943)
(-7.150821556941636, 6.9904042129750135)
(-7.403749579934291, 6.721941100427972)
(-7.5946332834850425, 6.505501155897307)
(-7.803694773382178, 6.253187018144243)
(-8.242132312596885, 5.662795682491671)
(-8.41420999144019, 5.403801460078643)
(-9.015383167146627, 4.326992760512694)
(-9.620536063972384, 2.72860510917332)
(-9.786142342938843, 2.0570410894630826)
(-9.86135348028757, 1.6594298830683476)
(-9.922364211555747, 1.2436592995019582)
(-9.951253242150726, 0.9861840145655777)
(-9.961573258191043, 0.8758186009060837)
(-9.991829004590524, 0.4041696958253107)
(-9.99997727311605, 0.021319877168638514)
(-9.99257702831943, -0.38523282973138817)
(-9.960916152095201, -0.8832606698641756)
(-9.810133035375049, -1.9394045035121323)
(-9.081712760798528, -4.185987736526375)
(-8.87193703678808, -4.613971523023084)
(-8.203981875142007, -5.717926319247342)
(-8.196873336968867, -5.72811203606292)
(-8.093811210216135, -5.872837482289087)
(-7.252008174540785, -6.885374168220173)
(-6.708763210412169, -7.4156925628440264)
(-6.667977422761138, -7.452387341620653)
(-5.952107689370395, -8.035696239538787)
(-5.949535179187552, -8.03760108189065)
(-5.6490754346454555, -8.25154208216169)
(-5.436085779810412, -8.393388552577738)
(-4.392226544429159, -8.983782387302794)
(-3.9334025000773103, -9.193929778521564)
(-3.478788153989927, -9.37539508392363)
(-3.214884501446709, -9.46913499969019)
(-1.3101593171696344, -9.913802628841953)
(-1.309724842908476, -9.913860037133285)
(-1.241831776233588, -9.92259310057288)
(-1.2150563531064469, -9.925907417398959)
(-0.9337975386069459, -9.956305648024854)
(-0.5213123309936212, -9.986402427979456)
